Producer,Model,Efficiency (J/TH),Date
Nvidia,GT 330,3464203,02/01/2010
ATI,5470M,882353,07/01/2010
ATI,5650,729167,07/01/2010
ATI,5870M,264550,07/01/2010
ATI,5670,888889,17/01/2010
ATI,5450,1583333,04/02/2010
ATI,5570,650000,09/02/2010
ATI,5550,951220,09/02/2010
ATI,5830,717213,25/02/2010
Nvidia,GTX 470,2622591,26/03/2010
Nvidia,GTX 480,2468404,26/03/2010
Nvidia,GTX 465,3105108,31/03/2010
ATI,FirePro V3800,623188,26/04/2010
ATI,FirePro V4800,862500,26/04/2010
ATI,FirePro V7800,541176,26/04/2010
ATI,FirePro V5800,621849,26/04/2010
Nvidia,GTS 360M,1520000,01/07/2010
Nvidia,GTS 350M,1346154,01/07/2010
Nvidia,GTX 570,2069357,12/07/2010
Nvidia,GTX 580,1558110,11/09/2010
Nvidia,GTX 590,1558110,11/09/2010
Nvidia,GTX 670,1517857,11/09/2010
Nvidia,GTX 325M,2190476,01/10/2010
Nvidia,GT 330M,1018519,01/10/2010
ATI,6850,738372,22/10/2010
ATI,6870,650862,22/10/2010
Nvidia,GT 440,2745098,10/11/2010
Nvidia,GT 430,2420949,10/11/2010
Nvidia,GTS 450,2340989,10/11/2010
Nvidia,GTX 460,2412545,10/11/2010
Nvidia,GTX 460SE,2660046,15/11/2010
ATI,6950,735294,15/12/2010
ATI,6970,773994,15/12/2010
ATI,6490M,1437500,01/01/2011
ATI,6570,882353,01/01/2011
Nvidia,GT 610M,1280683,12/01/2011
ATI,6750,1056338,21/01/2011
ATI,6450,666667,07/02/2011
ATI,6990,559701,08/03/2011
Nvidia,GTX 550Ti,2577778,15/03/2011
Nvidia,GTX 560M,1908397,30/03/2011
ATI,6770,600000,19/04/2011
ATI,6670,647059,19/04/2011
Nvidia,GT 520M,1348315,01/05/2011
Nvidia,GT 525M,1575342,01/05/2011
Nvidia,GT 540M,2187500,01/05/2011
Nvidia,GT 550M,2049180,01/05/2011
Nvidia,GT 530,2793296,14/05/2011
ATI,6480G,1875000,14/06/2011
ATI,6520G,1323529,14/06/2011
ATI,6530D,2439024,20/06/2011
ATI,6550D,1515152,20/06/2011
Nvidia,GTX 560Ti,3101920,29/11/2011
ATI,6930,581250,01/12/2011
ATI,7970,450450,01/01/2012
ATI,7950,392157,01/01/2012
ATI,7770,439560,01/02/2012
ATI,7750,528846,01/02/2012
ATI,7850,452962,01/03/2012
ATI,7870,432099,01/03/2012
Nvidia,GT 650M,2528090,22/03/2012
Canaan,AvalonMiner Batch 1,9351,01/01/2013
Canaan,AvalonMiner 2,1600,01/10/2013
Canaan,Jupiter,1484,05/10/2013
ASICMiner,BE Cube,6667,01/11/2013
AntMiner,S1,2000,01/12/2013
AntMiner,U1,1250,01/12/2013
Spondoolies,Hammer,651,19/03/2014
AntMiner,S2,1100,01/04/2014
AntMiner,U2+,1000,01/05/2014
Canaan,AvalonMiner 3,941,01/05/2014
AntMiner,S3,766,01/06/2014
Canaan,Neptune,570,07/06/2014
ASICMiner,BE Blade,7719,10/07/2014
Spondoolies,RockerBox,425,22/07/2014
AntMiner,S4,700,01/10/2014
AntMiner,S5,511,01/12/2014
AntMiner,U3,1000,15/01/2015
AntMiner,S7,273,01/09/2015
Canaan,AvalonMiner 6,309,01/10/2015
AntMiner,S9-11.5,98,01/06/2016
AntMiner,S7-LN,258,01/06/2016
Canaan,AvalonMiner 721,167,01/10/2016
Canaan,AvalonMiner 741,158,01/12/2016
AntMiner,R4,97,01/02/2017
AntMiner,S9-12.5,98,01/02/2017
AntMiner,T9-11.5,126,01/04/2017
AntMiner,S9-13.0,100,01/06/2017
AntMiner,T9-12.5,126,01/08/2017
AntMiner,S9-13.5,98,01/10/2017
AntMiner,S9-14,98,01/11/2017
Canaan,AvalonMiner 821,109,01/12/2017
AntMiner,T9+,136,01/01/2018
AntMiner,V9,257,01/03/2018
Canaan,AvalonMiner 841,99,01/03/2018
Bitfury,BF8162B,96,01/05/2018
AntMiner,S9i-14.0,94,05/01/2018
AntMiner,S9i-13.5,97,01/05/2018
AntMiner,S9i-13.0,99,01/05/2018
ASICMiner,8 Nano Compact,51,01/05/2018
ASICMiner,8 Nano Pro,53,01/05/2018
ASICMiner,48 Th Air,158,01/05/2018
ASICMiner,24 Th Compact,167,01/05/2018
ASICMiner,48 Th,167,01/05/2018
AntMiner,S15,57,11/11/2018
AntMiner,S17,39.5,19/04/2019
AntMiner,S19,34.5,01/05/2020
AntMiner,S19j,36.11,01/06/2021
AntMiner,S19 Pro,29.55,01/05/2020
AntMiner,S19j Pro,30.5,01/06/2021
AntMiner,S19 XP,21.5,1/2/2022
